iter	Passed	Remaining
498	4128	4144
499	4135	4135
500	4142	4125
501	4149	4116
502	4157	4107
503	4165	4099
504	4172	4090
505	4180	4081
506	4187	4071
507	4194	4062
508	4202	4053
509	4210	4044
510	4217	4035
511	4224	4026
512	4233	4018
513	4240	4009
514	4247	4000
515	4255	3991
516	4263	3983
517	4271	3974
518	4278	3965
519	4287	3957
520	4294	3948
521	4302	3939
522	4309	3930
523	4316	3921
524	4325	3913
525	4332	3903
526	4339	3895
527	4347	3886
528	4354	3876
529	4361	3867
530	4369	3859
531	4376	3849
532	4384	3841
533	4391	3832
534	4399	3823
535	4406	3814
536	4414	3805
537	4422	3797
538	4430	3788
539	4437	3780
540	4445	3771
541	4453	3763
542	4461	3754
543	4468	3745
544	4476	3737
545	4483	3727
546	4490	3718
547	4497	3709
548	4504	3700
549	4512	3691
550	4518	3682
551	4526	3674
552	4534	3665
553	4542	3657
554	4550	3648
555	4557	3639
556	4565	3630
557	4572	3622
558	4580	3613
559	4588	3605
560	4595	3595
561	4602	3587
562	4610	3578
563	4617	3569
564	4626	3561
565	4634	3553
566	4641	3544
567	4649	3535
568	4656	3526
569	4666	3520
570	4673	3511
571	4681	3502
572	4688	3493
573	4695	3484
574	4703	3476
575	4710	3467
576	4719	3460
577	4727	3451
578	4734	3442
579	4742	3433
580	4756	3430
581	4763	3421
582	4771	3413
583	4779	3404
584	4786	3395
585	4793	3386
586	4802	3378
587	4809	3370
588	4818	3362
589	4827	3354
590	4835	3346
591	4843	3338
592	4851	3329
593	4858	3321
594	4866	3312
595	4875	3304
596	4882	3295
597	4889	3287
598	4897	3278
599	4905	3270
600	4913	3262
601	4922	3254
602	4930	3245
603	4938	3237
604	4945	3228
605	4953	3220
606	4961	3212
607	4968	3203
608	4976	3194
609	4983	3186
610	4991	3177
611	4998	3169
612	5005	3159
613	5012	3151
614	5019	3142
615	5027	3134
616	5034	3125
617	5041	3116
618	5049	3107
619	5055	3098
620	5063	3090
621	5070	3081
622	5077	3072
623	5085	3064
624	5094	3056
625	5101	3047
626	5110	3039
627	5117	3031
628	5124	3022
629	5132	3014
630	5139	3005
631	5147	2997
632	5155	2989
633	5164	2981
634	5171	2972
635	5178	2963
636	5185	2955
637	5193	2946
638	5200	2938
639	5208	2929
640	5216	2921
641	5223	2912
642	5230	2904
643	5237	2895
644	5245	2886
645	5254	2879
646	5262	2871
647	5270	2863
648	5277	2854
649	5285	2845
650	5293	2837
651	5300	2828
652	5307	2820
653	5315	2812
654	5322	2803
655	5329	2794
656	5337	2786
657	5344	2777
658	5352	2769
659	5360	2761
660	5368	2753
661	5376	2744
662	5383	2736
663	5390	2727
664	5397	2719
665	5407	2711
666	5416	2704
667	5424	2696
668	5432	2687
669	5440	2679
670	5447	2670
671	5455	2662
672	5462	2654
673	5470	2645
674	5477	2637
675	5485	2628
676	5492	2620
677	5499	2611
678	5506	2603
679	5514	2595
680	5522	2586
681	5529	2578
682	5537	2570
683	5545	2561
684	5552	2553
685	5560	2545
686	5567	2536
687	5574	2528
688	5582	2519
689	5590	2511
690	5598	2503
691	5605	2495
692	5612	2486
693	5620	2478
694	5628	2469
695	5635	2461
696	5642	2453
697	5650	2444
698	5657	2436
699	5665	2427
700	5672	2419
701	5680	2411
702	5693	2405
703	5701	2397
704	5708	2388
705	5715	2380
706	5722	2371
707	5730	2363
708	5736	2354
709	5743	2345
710	5751	2337
711	5759	2329
712	5768	2321
713	5775	2313
714	5782	2305
715	5791	2297
716	5799	2289
717	5807	2281
718	5816	2273
719	5824	2265
720	5832	2257
721	5841	2249
722	5849	2240
723	5856	2232
724	5864	2224
725	5872	2216
726	5879	2207
727	5886	2199
728	5895	2191
729	5902	2183
730	5909	2174
731	5918	2166
732	5925	2158
733	5933	2150
734	5940	2141
735	5948	2133
736	5956	2125
737	5963	2117
738	5970	2108
739	5978	2100
740	5986	2092
741	5993	2083
742	6000	2075
743	6008	2067
744	6015	2059
745	6023	2051
746	6031	2042
747	6040	2034
748	6047	2026
749	6055	2018
750	6063	2010
751	6071	2002
752	6079	1994
753	6087	1986
754	6097	1978
755	6104	1970
756	6126	1966
757	6140	1960
758	6148	1952
759	6155	1943
760	6162	1935
761	6169	1927
762	6176	1918
763	6184	1910
764	6191	1902
765	6200	1894
766	6206	1885
767	6214	1877
768	6221	1868
769	6228	1860
770	6236	1852
771	6244	1844
772	6252	1836
773	6260	1827
774	6267	1819
775	6274	1811
776	6287	1804
777	6294	1796
778	6301	1787
779	6309	1779
780	6315	1771
781	6323	1762
782	6330	1754
783	6337	1746
784	6345	1737
785	6352	1729
786	6360	1721
787	6367	1713
788	6375	1704
789	6382	1696
790	6388	1688
791	6394	1679
792	6403	1671
793	6410	1663
794	6417	1654
795	6425	1646
796	6432	1638
797	6440	1630
798	6448	1622
799	6455	1613
800	6463	1605
801	6470	1597
802	6477	1589
803	6484	1580
804	6492	1572
805	6499	1564
806	6507	1556
807	6514	1548
808	6522	1539
809	6529	1531
810	6537	1523
811	6544	1515
812	6552	1507
813	6561	1499
814	6568	1491
815	6577	1483
816	6585	1475
817	6592	1466
818	6600	1458
819	6607	1450
820	6614	1442
821	6624	1434
822	6632	1426
823	6639	1418
824	6646	1409
825	6655	1401
826	6663	1393
827	6670	1385
828	6677	1377
829	6685	1369
830	6692	1360
831	6699	1352
832	6707	1344
833	6718	1337
834	6725	1329
835	6733	1320
836	6740	1312
837	6748	1304
838	6756	1296
839	6763	1288
840	6772	1280
841	6782	1272
842	6791	1264
843	6798	1256
844	6806	1248
845	6816	1240
846	6823	1232
847	6831	1224
848	6838	1216
849	6846	1208
850	6853	1199
851	6861	1191
852	6868	1183
853	6876	1175
854	6883	1167
855	6890	1159
856	6897	1150
857	6906	1142
858	6914	1134
859	6921	1126
860	6930	1118
861	6936	1110
862	6943	1102
863	6951	1094
864	6959	1086
865	6965	1077
866	6972	1069
867	6981	1061
868	6989	1053
869	6996	1045
870	7005	1037
871	7013	1029
872	7020	1021
873	7028	1013
874	7037	1005
875	7044	997
876	7053	989
877	7060	981
878	7068	973
879	7076	964
880	7084	956
881	7091	948
882	7099	940
883	7107	932
884	7116	924
885	7123	916
886	7130	908
887	7138	900
888	7146	892
889	7153	884
890	7161	876
891	7169	868
892	7177	859
893	7184	851
894	7191	843
895	7199	835
896	7207	827
897	7215	819
898	7223	811
899	7231	803
900	7239	795
901	7245	787
902	7253	779
903	7260	771
904	7270	763
905	7278	755
906	7285	747
907	7293	738
908	7300	730
909	7307	722
910	7314	714
911	7321	706
912	7328	698
913	7336	690
914	7343	682
915	7350	674
916	7357	665
917	7364	657
918	7372	649
919	7379	641
920	7388	633
921	7395	625
922	7402	617
923	7410	609
924	7417	601
925	7424	593
926	7432	585
927	7439	577
928	7447	569
929	7455	561
930	7463	553
931	7470	545
932	7478	537
933	7487	529
934	7494	521
935	7502	512
936	7511	505
937	7519	497
938	7526	488
939	7534	480
940	7541	472
941	7550	464
942	7559	456
943	7567	448
944	7575	440
945	7582	432
946	7590	424
947	7597	416
948	7604	408
949	7612	400
950	7620	392
951	7627	384
952	7635	376
953	7643	368
954	7650	360
955	7658	352
956	7665	344
957	7673	336
958	7681	328
959	7689	320
960	7696	312
961	7704	304
962	7711	296
963	7719	288
964	7726	280
965	7735	272
966	7742	264
967	7750	256
968	7760	248
969	7767	240
970	7775	232
971	7783	224
972	7791	216
973	7798	208
974	7805	200
975	7813	192
976	7820	184
977	7827	176
978	7835	168
979	7842	160
980	7851	152
981	7858	144
982	7866	136
983	7873	128
984	7880	120
985	7888	112
986	7894	103
987	7902	95
988	7909	87
989	7916	79
990	7924	71
991	7931	63
992	7939	55
993	7946	47
994	7955	39
995	7962	31
996	7969	23
997	7976	15
998	7985	7
999	7992	0
