iter	RMSE
366	554.9581327
367	554.9078498
368	554.823365
369	554.7845769
370	554.7376607
371	554.686424
372	554.6631725
373	554.630128
374	554.5642646
375	554.5103279
376	554.4599825
377	554.4192756
378	554.3447505
379	554.2803255
380	554.2356399
381	554.143604
382	554.1138361
383	554.0720657
384	554.021205
385	553.983148
386	553.9326908
387	553.8825944
388	553.8252922
389	553.7549635
390	553.7115834
391	553.6397667
392	553.5708258
393	553.5237247
394	553.4601408
395	553.4144751
396	553.4019521
397	553.3516497
398	553.2784716
399	553.2477232
400	553.2196991
401	553.1788744
402	553.1206217
403	553.0393753
404	552.9954291
405	552.9471633
406	552.9215422
407	552.8278727
408	552.7716813
409	552.6624834
410	552.5978183
411	552.515594
412	552.4646399
413	552.413857
414	552.3951939
415	552.3635034
416	552.2909416
417	552.266198
418	552.2326767
419	552.1352327
420	552.0511426
421	551.9900014
422	551.9381396
423	551.9245673
424	551.8594645
425	551.7665264
426	551.7133765
427	551.6847919
428	551.6595755
429	551.6043625
430	551.5688704
431	551.4961163
432	551.4816897
433	551.4456069
434	551.4181959
435	551.3826439
436	551.3552892
437	551.3136015
438	551.2665995
439	551.232087
440	551.1584497
441	551.0842435
442	551.0095898
443	550.9558477
444	550.9429102
445	550.8864131
446	550.8023634
447	550.7488015
448	550.7164962
449	550.6882617
450	550.6407073
451	550.5963626
452	550.5170024
453	550.4713587
454	550.3890607
455	550.2887073
456	550.2125117
457	550.2064302
458	550.1210565
459	550.0739877
460	550.0323064
461	549.9866325
462	549.942766
463	549.8700596
464	549.7826625
465	549.7510373
466	549.6670459
467	549.6196822
468	549.5821909
469	549.5321048
470	549.4906781
471	549.4352227
472	549.3631338
473	549.2958802
474	549.2647173
475	549.2279294
476	549.1829245
477	549.1291933
478	549.0700548
479	549.0284201
480	548.9661405
481	548.9204797
482	548.9196691
483	548.8684762
484	548.8343506
485	548.779268
486	548.725994
487	548.6875179
488	548.667249
489	548.5957741
490	548.4835629
491	548.4287708
492	548.3541215
493	548.3018928
494	548.2327329
495	548.1942004
496	548.1390771
497	548.0641317
498	548.0246474
499	547.9984229
500	547.9440905
501	547.8992096
502	547.7824792
503	547.690809
504	547.6535767
505	547.5957056
506	547.5877621
507	547.5439198
508	547.4927971
509	547.4435231
510	547.4242999
511	547.3842846
512	547.3518645
513	547.3432236
514	547.3145399
515	547.2784998
516	547.217092
517	547.0905234
518	547.0673798
519	547.0384119
520	547.0171467
521	546.981333
522	546.9315854
523	546.8964687
524	546.8874186
525	546.797367
526	546.7374944
527	546.7128172
528	546.6818133
529	546.5935558
530	546.5201891
531	546.4707175
532	546.4513466
533	546.3655737
534	546.3305994
535	546.2836153
536	546.2722386
537	546.2402277
538	546.2122647
539	546.1639543
540	546.0782867
541	546.0279146
542	545.9482469
543	545.8309918
544	545.8128029
545	545.8117631
546	545.7968099
547	545.7743846
548	545.6885129
549	545.671622
550	545.6363143
551	545.5832213
552	545.5115805
553	545.446052
554	545.3371965
555	545.2833179
556	545.2543881
557	545.2209105
558	545.135064
559	545.0214771
560	544.9616441
561	544.9116444
562	544.8785599
563	544.7635285
564	544.708128
565	544.6684215
566	544.6167917
567	544.5535063
568	544.4406735
569	544.4347182
570	544.3952141
571	544.3521557
572	544.3100876
573	544.2838124
574	544.2332405
575	544.1963484
576	544.1507434
577	544.0752992
578	544.018902
579	543.9965069
580	543.9682635
581	543.8897827
582	543.8617357
583	543.809068
584	543.7479544
585	543.7003796
586	543.6612877
587	543.6159771
588	543.4666409
589	543.4405613
590	543.3808403
591	543.3303515
592	543.2838961
593	543.2465585
594	543.1897542
595	543.1638038
596	543.0786609
597	543.0398196
598	542.9710876
599	542.9458637
600	542.8974756
601	542.866526
602	542.8042389
603	542.7256408
604	542.6891278
605	542.6605004
606	542.6031224
607	542.5375244
608	542.495453
609	542.4548044
610	542.4317567
611	542.3738004
612	542.3731893
613	542.322458
614	542.3217982
615	542.3211833
616	542.3206099
617	542.2413101
618	542.2407672
619	542.2402607
620	542.1306392
621	542.1302041
622	542.0555744
623	542.0298839
624	541.9870744
625	541.8964662
626	541.8674875
627	541.8348357
628	541.7876481
629	541.7522183
630	541.6932665
631	541.6546148
632	541.636442
633	541.5855782
634	541.5320584
635	541.4873025
636	541.39387
637	541.305803
638	541.2793957
639	541.2094719
640	541.1334841
641	541.0812551
642	541.0052322
643	540.9777267
644	540.9171499
645	540.8513126
646	540.7906106
647	540.7176064
648	540.6997284
649	540.619471
650	540.5389859
651	540.4819618
652	540.4484577
653	540.417753
654	540.394109
655	540.3533657
656	540.3046264
657	540.2616282
658	540.2406909
659	540.2113667
660	540.165288
661	540.1036105
662	540.0228521
663	539.9960169
664	539.9444561
665	539.8531842
666	539.7997049
667	539.7667831
668	539.6749219
669	539.6230535
670	539.6001107
671	539.5386198
672	539.51385
673	539.4829321
674	539.4728297
675	539.4628065
676	539.4230946
677	539.3956896
678	539.3711035
679	539.3336987
680	539.286136
681	539.2595671
682	539.1617345
683	539.0484911
684	538.9741929
685	538.9663088
686	538.8592767
687	538.7887462
688	538.7519558
689	538.7116856
690	538.6480035
691	538.5587028
692	538.5264625
693	538.4786744
694	538.4021126
695	538.3445963
696	538.2809311
697	538.1877108
698	538.1235519
699	538.0731243
700	538.0408291
701	537.9903415
702	537.9727008
703	537.905176
704	537.8174652
705	537.778959
706	537.7446659
707	537.6627062
708	537.662231
709	537.6617171
710	537.6025932
711	537.5692698
712	537.5227574
713	537.4744376
714	537.4152811
715	537.3953994
716	537.3949608
717	537.3684572
718	537.2950599
719	537.245889
720	537.1981153
721	537.1436499
722	537.0906454
723	537.0721623
724	537.0524455
725	536.9990011
726	536.9653708
727	536.9533845
728	536.9237491
729	536.8972637
730	536.8650072
731	536.8369149
732	536.8030871
733	536.7334017
734	536.7112506
735	536.6724865
736	536.5972746
737	536.562325
738	536.5112169
739	536.4684484
740	536.4486465
741	536.4231778
742	536.4022971
743	536.3838925
744	536.3582549
745	536.3225721
746	536.3083182
747	536.2902918
748	536.2692239
749	536.260725
750	536.1927896
751	536.1664177
752	536.1174984
753	536.0654719
754	536.0261169
755	535.9951112
756	535.9947156
757	535.9319769
758	535.9158544
759	535.8854194
760	535.8654613
761	535.8651233
762	535.864805
763	535.8200729
764	535.796843
765	535.7659582
766	535.7656226
767	535.6928258
768	535.6409114
769	535.6005926
770	535.5424698
771	535.4777725
772	535.4542359
773	535.4023465
774	535.3101522
775	535.2591347
776	535.2112301
777	535.1319685
778	535.1084283
779	535.0628213
780	535.0625314
781	535.0129043
782	534.950153
783	534.9498414
784	534.8987119
785	534.8492845
786	534.8232805
787	534.7929291
788	534.7575881
789	534.7373444
790	534.7370788
791	534.7368108
792	534.717242
793	534.6851622
794	534.658611
795	534.596335
796	534.5560894
797	534.5478425
798	534.4858478
799	534.4462529
800	534.433535
801	534.3925895
802	534.3729739
803	534.3546807
804	534.329701
805	534.2864486
806	534.2577228
807	534.2406182
808	534.1969356
809	534.1730721
810	534.1236348
811	534.0626065
812	534.0051325
813	533.971943
814	533.924122
815	533.8896158
816	533.8522392
817	533.8093875
818	533.7205623
819	533.6771049
820	533.6723055
821	533.6356483
822	533.6044296
823	533.5344732
824	533.502507
825	533.41838
826	533.3341354
827	533.3156683
828	533.292922
829	533.2859688
830	533.2857138
831	533.2301716
832	533.1385102
833	533.1181241
834	533.1131171
835	533.0727132
836	532.995168
837	532.9725292
838	532.9334489
839	532.8825262
840	532.8552415
841	532.7825739
842	532.7391572
843	532.6869671
844	532.6580946
845	532.6346623
846	532.5458112
847	532.5254022
848	532.4730933
849	532.4426512
850	532.4123488
851	532.3661791
852	532.326428
853	532.2787824
854	532.2784974
855	532.2349586
856	532.1998823
857	532.1781524
858	532.1642532
859	532.1446571
860	532.1254605
861	532.1247928
862	532.1015544
863	532.076065
864	532.0584701
865	532.0582142
866	532.0360687
867	531.9932794
868	531.9604391
869	531.9405387
870	531.9279106
871	531.9008477
872	531.8685067
873	531.8327988
874	531.7708798
875	531.7244506
876	531.6884107
877	531.6589201
878	531.6069767
879	531.5758635
880	531.5377192
881	531.4717875
882	531.4110152
883	531.3299838
884	531.3090256
885	531.2651485
886	531.2273976
887	531.210513
888	531.1905513
889	531.1645082
890	531.1372961
891	531.1321134
892	531.1055267
893	531.0935361
894	531.0931697
895	531.0690446
896	531.0383402
897	530.9854553
898	530.9252372
899	530.8699454
900	530.8520281
901	530.8518591
902	530.8177901
903	530.7617702
904	530.7124166
905	530.6618733
906	530.6323386
907	530.5530759
908	530.5370981
909	530.4947441
910	530.4854099
911	530.4850978
912	530.4848985
913	530.4744754
914	530.4504442
915	530.4270853
916	530.4185495
917	530.363992
918	530.3465707
919	530.3246498
920	530.3001547
921	530.2999702
922	530.2541987
923	530.211374
924	530.1334593
925	530.133232
926	530.1049088
927	530.0682407
928	530.0680244
929	530.056314
930	530.0356781
931	529.9771896
932	529.923757
933	529.8982106
934	529.8415479
935	529.8237349
936	529.8008238
937	529.7838975
938	529.7696781
939	529.7651687
940	529.6931765
941	529.6515579
942	529.6389968
943	529.594482
944	529.5680107
945	529.5638819
946	529.5515343
947	529.5410438
948	529.5188403
949	529.4616912
950	529.4235582
951	529.3754603
952	529.3512932
953	529.2542088
954	529.2110666
955	529.179355
956	529.1226946
957	529.0720922
958	529.0427632
959	529.0269932
960	528.9604341
961	528.8854544
962	528.8645355
963	528.8334398
964	528.8131143
965	528.7788151
966	528.7735683
967	528.7539419
968	528.7511582
969	528.716235
970	528.6829693
971	528.6396501
972	528.6054468
973	528.590594
974	528.5646258
975	528.4902855
976	528.4504774
977	528.4111353
978	528.3988678
979	528.3862222
980	528.3483276
981	528.319517
982	528.2930289
983	528.2403168
984	528.2040915
985	528.1810338
986	528.1485277
987	528.1263318
988	528.0854631
989	528.0563514
990	528.0323029
991	528.0081188
992	527.960923
993	527.9470343
994	527.9122157
995	527.8842466
996	527.8685516
997	527.8313634
998	527.8095224
999	527.7683913
